,batting_team,bowling_team,venue,runs_left,balls_left,wickets_left,runs_target_y,crr,rrr,result
124,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",222.0,119,10,223.0,6.0,11.2,0
125,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",221.0,118,10,223.0,6.0,11.2,0
127,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",220.0,117,10,223.0,6.0,11.3,0
128,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",219.0,116,10,223.0,6.0,11.3,0
129,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",219.0,115,10,223.0,4.8,11.4,0
130,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",219.0,114,10,223.0,4.0,11.5,0
131,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",219.0,113,9,223.0,3.4,11.6,0
132,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",219.0,112,9,223.0,3.0,11.7,0
133,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",215.0,111,9,223.0,5.3,11.6,0
134,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",214.0,110,9,223.0,5.4,11.7,0
135,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",214.0,109,9,223.0,4.9,11.8,0
136,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",214.0,108,9,223.0,4.5,11.9,0
137,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",214.0,107,9,223.0,4.2,12.0,0
138,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",214.0,106,8,223.0,3.9,12.1,0
139,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",213.0,105,8,223.0,4.0,12.2,0
140,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",213.0,104,8,223.0,3.8,12.3,0
141,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",212.0,103,8,223.0,3.9,12.3,0
143,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",211.0,102,8,223.0,4.0,12.4,0
144,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",209.0,101,8,223.0,4.4,12.4,0
145,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",208.0,100,8,223.0,4.5,12.5,0
146,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",208.0,99,8,223.0,4.3,12.6,0
147,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",207.0,98,8,223.0,4.4,12.7,0
148,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",207.0,97,8,223.0,4.2,12.8,0
149,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",207.0,96,8,223.0,4.0,12.9,0
150,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",206.0,95,8,223.0,4.1,13.0,0
151,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",205.0,94,8,223.0,4.2,13.1,0
152,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",205.0,93,8,223.0,4.0,13.2,0
153,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",199.0,92,8,223.0,5.1,13.0,0
154,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",199.0,91,7,223.0,5.0,13.1,0
155,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",199.0,90,7,223.0,4.8,13.3,0
156,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",199.0,89,7,223.0,4.6,13.4,0
157,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",199.0,88,6,223.0,4.5,13.6,0
158,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",199.0,87,6,223.0,4.4,13.7,0
159,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",198.0,86,6,223.0,4.4,13.8,0
160,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",197.0,85,6,223.0,4.5,13.9,0
161,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",197.0,84,6,223.0,4.3,14.1,0
162,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",197.0,83,6,223.0,4.2,14.2,0
163,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",197.0,82,6,223.0,4.1,14.4,0
164,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",196.0,81,6,223.0,4.2,14.5,0
165,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",195.0,80,6,223.0,4.2,14.6,0
166,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",194.0,80,6,223.0,4.4,14.6,0
168,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",194.0,79,6,223.0,4.2,14.7,0
169,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",190.0,78,6,223.0,4.7,14.6,0
170,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",189.0,77,6,223.0,4.7,14.7,0
171,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",188.0,76,6,223.0,4.8,14.8,0
172,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",187.0,75,6,223.0,4.8,15.0,0
173,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",185.0,74,6,223.0,5.0,15.0,0
174,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",185.0,73,5,223.0,4.9,15.2,0
175,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",185.0,72,5,223.0,4.8,15.4,0
176,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",185.0,71,5,223.0,4.7,15.6,0
177,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",185.0,70,4,223.0,4.6,15.9,0
178,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",185.0,69,4,223.0,4.5,16.1,0
179,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",184.0,68,4,223.0,4.5,16.2,0
180,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",183.0,68,4,223.0,4.6,16.1,0
181,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",182.0,68,4,223.0,4.7,16.1,0
182,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",180.0,67,4,223.0,4.9,16.1,0
183,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",180.0,66,3,223.0,4.8,16.4,0
184,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",179.0,65,3,223.0,4.8,16.5,0
185,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",179.0,64,3,223.0,4.7,16.8,0
186,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",179.0,63,3,223.0,4.6,17.0,0
187,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",178.0,62,3,223.0,4.7,17.2,0
